customer_number,fruit_veg,dairy,confectionary,grocery_food,grocery_health_pets,bakery,newspapers_magazines,prepared_meals,soft_drinks,frozen,meat,tobacco,drinks,deli,world_foods,lottery,cashpoint,seasonal_gifting,discount_bakery,practical_items
11387,£64.58,£35.91,£107.78,£27.08,£29.59,£0.00,£54.83,£6.35,£22.83,£21.51,£28.62,£162.10,£28.02,£28.12,£28.54,£2.00,£15.00,£7.48,£0.00,£0.84
8171,£16.89,£37.24,£28.84,£33.43,£66.40,£0.00,£22.06,£12.09,£2.34,£78.74,£26.44,£0.00,£8.42,£2.65,£3.76,£0.00,£0.00,£9.99,£0.00,£0.00
1060,£87.30,£82.98,£49.88,£20.57,£37.04,£0.00,£9.85,£57.98,£31.12,£14.53,£54.65,£0.00,£0.00,£2.60,£0.00,£18.00,£20.00,£106.46,£0.00,£0.00
3728,£84.05,£186.56,£175.50,£119.84,£111.08,£0.00,£13.05,£25.54,£124.42,£15.24,£0.95,£127.70,£0.00,£0.00,£0.00,£4.00,£0.00,£0.00,£0.00,£4.50
14621,£35.16,£121.31,£79.23,£29.03,£37.17,£0.00,£40.06,£0.00,£4.68,£3.33,£36.24,£0.00,£2.55,£99.16,£0.00,£0.00,£0.00,£3.40,£0.00,£0.00
12563,£25.76,£19.11,£20.84,£37.29,£8.99,£0.00,£0.00,£17.65,£14.48,£8.08,£17.32,£0.00,£36.74,£5.50,£3.73,£0.00,£0.00,£0.00,£11.28,£0.00
1652,£97.60,£31.16,£21.50,£47.13,£26.29,£0.00,£4.12,£24.92,£1.26,£14.53,£31.96,£0.00,£0.00,£0.00,£9.83,£0.00,£0.00,£0.00,£0.00,£0.00
2989,£52.82,£51.56,£51.92,£63.79,£61.78,£0.00,£15.35,£24.52,£22.16,£36.97,£47.08,£0.00,£0.00,£10.46,£19.10,£0.00,£20.00,£1.70,£0.00,£5.08
14219,£126.27,£132.41,£35.54,£84.98,£23.47,£0.00,£0.00,£9.99,£9.63,£49.80,£14.60,£0.00,£0.00,£0.89,£4.56,£0.00,£0.00,£0.00,£0.00,£0.00
1831,£2.77,£16.40,£47.54,£16.86,£5.42,£0.00,£9.42,£5.43,£1.57,£6.14,£4.52,£0.00,£2.97,£0.55,£0.00,£9.00,£44.00,£0.00,£0.00,£0.00
1433,£44.35,£47.36,£56.74,£43.63,£29.66,£0.00,£10.20,£15.91,£8.39,£12.34,£14.38,£0.00,£0.00,£45.96,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00
14801,£181.41,£82.99,£36.72,£24.35,£15.46,£0.00,£9.47,£18.32,£0.00,£27.51,£35.42,£0.00,£0.00,£0.00,£18.32,£124.00,£179.00,£0.00,£0.00,£0.00
16316,£42.58,£28.96,£35.96,£16.56,£33.55,£0.00,£1.78,£6.46,£24.48,£12.79,£0.00,£0.00,£73.37,£24.65,£4.01,£0.00,£0.00,£0.00,£0.00,£5.32
3386,£398.89,£216.74,£108.80,£84.26,£176.22,£0.00,£16.95,£36.14,£10.25,£23.92,£115.56,£0.00,£0.00,£0.00,£14.22,£0.00,£0.00,£7.87,£0.00,£2.96
1461,£19.16,£35.99,£78.77,£15.24,£57.33,£0.00,£55.74,£18.64,£60.56,£11.27,£18.98,£0.00,£159.27,£0.00,£9.60,£6.00,£30.00,£2.11,£0.00,£0.00
1671,£128.51,£109.94,£76.70,£33.64,£26.40,£0.00,£6.41,£53.45,£6.53,£91.04,£71.88,£0.00,£11.31,£25.08,£1.95,£0.00,£25.00,£1.83,£54.50,£0.00
11607,£168.37,£62.11,£143.92,£161.05,£64.34,£0.00,£10.73,£8.65,£32.11,£174.86,£13.56,£0.00,£18.23,£0.00,£1.19,£0.00,£0.00,£20.51,£0.00,£0.84
