customer_number,baskets,total_quantity,average_quantity,total_spend,average_spend
4749,220,260,1.1818181818181818,£631.12,£2.87
4757,248,333,1.3427419354838710,£452.42,£1.82
144,226,303,1.3407079646017699,£261.16,£1.16
572,285,346,1.2140350877192982,£638.79,£2.24
669,285,324,1.1368421052631579,£561.42,£1.97
792,830,857,1.0325301204819277,"£1,267.05",£1.53
928,276,294,1.0652173913043478,"£1,074.51",£3.89
1031,60,69,1.1500000000000000,£84.46,£1.41
1079,1040,1273,1.2240384615384615,"£1,730.24",£1.66
1325,191,214,1.1204188481675393,£441.80,£2.31
1395,606,706,1.1650165016501650,£800.43,£1.32
1869,283,436,1.5406360424028269,£617.32,£2.18
2301,168,201,1.1964285714285714,£376.32,£2.24
2377,641,695,1.0842433697347894,"£1,589.96",£2.48
2925,554,964,1.7400722021660650,£859.52,£1.55
3070,431,609,1.4129930394431555,£579.00,£1.34
3116,944,990,1.0487288135593220,"£1,354.40",£1.43
3149,526,643,1.2224334600760456,£595.72,£1.13
3566,299,349,1.1672240802675585,£677.35,£2.27
4005,374,458,1.2245989304812834,£617.00,£1.65
4446,361,443,1.2271468144044321,£561.56,£1.56
11801,327,364,1.1131498470948012,£447.76,£1.37
9311,336,395,1.1755952380952381,£705.97,£2.10
11798,324,740,2.2839506172839506,£473.99,£1.46
11796,279,365,1.3082437275985663,£371.62,£1.33
12014,328,404,1.2317073170731707,£467.31,£1.42
12016,558,696,1.2473118279569892,£949.31,£1.70
12008,614,784,1.2768729641693811,£825.27,£1.34
12019,229,331,1.4454148471615721,£514.31,£2.25
14780,113,138,1.2212389380530973,£164.60,£1.46
14770,618,706,1.1423948220064725,£755.10,£1.22
14778,355,400,1.1267605633802817,£299.82,£0.84
12020,353,476,1.3484419263456091,£553.04,£1.57
12027,435,494,1.1356321839080460,£542.51,£1.25
3594,458,665,1.4519650655021834,"£1,813.31",£3.96
3606,776,847,1.0914948453608247,£930.78,£1.20
3597,787,898,1.1410419313850064,£985.84,£1.25
3605,446,578,1.2959641255605381,£932.01,£2.09
14,381,531,1.3937007874015748,£675.72,£1.77
14782,239,272,1.1380753138075314,£742.54,£3.11
6967,302,326,1.0794701986754967,£472.67,£1.57
9374,221,288,1.3031674208144796,£372.64,£1.69
6970,233,278,1.1931330472103004,£272.04,£1.17
3613,558,665,1.1917562724014337,"£1,414.33",£2.53
12031,299,353,1.1806020066889632,£451.03,£1.51
14297,503,685,1.3618290258449304,£893.54,£1.78
12043,851,908,1.0669800235017626,"£1,718.05",£2.02
6454,583,665,1.1406518010291595,£795.35,£1.36
12038,619,904,1.4604200323101777,"£1,045.50",£1.69
15481,447,693,1.5503355704697987,£461.53,£1.03
11644,425,478,1.1247058823529412,£591.68,£1.39
14784,233,283,1.2145922746781116,£316.76,£1.36
6453,650,815,1.2538461538461538,"£1,044.71",£1.61
11246,975,1069,1.0964102564102564,"£1,397.12",£1.43
45,561,655,1.1675579322638146,£585.73,£1.04
12047,477,533,1.1174004192872117,£539.85,£1.13
6989,382,407,1.0654450261780105,£528.20,£1.38
3617,181,208,1.1491712707182320,£447.11,£2.47
9808,681,960,1.4096916299559471,£881.87,£1.29
10809,401,460,1.1471321695760599,£469.80,£1.17
63,268,281,1.0485074626865672,£293.34,£1.09
52,206,294,1.4271844660194175,£222.18,£1.08
8636,470,639,1.3595744680851064,"£1,020.29",£2.17
61,420,499,1.1880952380952381,£547.87,£1.30
6985,458,506,1.1048034934497817,£766.13,£1.67
14302,126,149,1.1825396825396825,£236.17,£1.87
8647,251,337,1.3426294820717131,£530.07,£2.11
5134,802,848,1.0573566084788030,"£1,196.57",£1.49
12058,547,594,1.0859232175502742,£525.13,£0.96
